country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
United States,1800,USA,6000000,,0,0,0.253,,,,,,,,,0.042,,,0.253,0.042,,,,0,0.253,,0.253,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.771,,0.771,,0.032,,0.032,,,,,,,,,,,,,,,,,,,
United States,1801,USA,6113782,,0,0,0.267,0.015,5.797,,,,,,,0.044,,,0.267,0.044,,,,0,0.52,,0.52,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.836,,0.836,,0.063,,0.063,,,,,,,,,,,,,,,,,,,
United States,1802,USA,6229723,,0,0,0.289,0.022,8.219,,,,,,,0.046,,,0.289,0.046,,,,0,0.81,,0.81,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,0.718,,0.718,,0.094,,0.094,,,,,,,,,,,,,,,,,,,
United States,1803,USA,6347862,,0,0,0.297,0.007,2.532,,,,,,,0.047,,,0.297,0.047,,,,0,1.107,,1.107,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.005,,1.005,,0.124,,0.124,,,,,,,,,,,,,,,,,,,
United States,1804,USA,6468241,,0,0,0.333,0.037,12.346,,,,,,,0.052,,,0.333,0.052,,,,0,1.44,,1.44,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.05,,1.05,,0.156,,0.156,,,,,,,,,,,,,,,,,,,
United States,1805,USA,6590903,,0,0,0.341,0.007,2.198,,,,,,,0.052,,,0.341,0.052,,,,0,1.781,,1.781,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.09,,1.09,,0.186,,0.186,,,,,,,,,,,,,,,,,,,
United States,1806,USA,6715891,,0,0,0.333,-0.007,-2.151,,,,,,,0.05,,,0.333,0.05,,,,0,2.114,,2.114,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.02,,1.02,,0.214,,0.214,,,,,,,,,,,,,,,,,,,
United States,1807,USA,6843249,,0,0,0.377,0.044,13.187,,,,,,,0.055,,,0.377,0.055,,,,0,2.492,,2.492,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.043,,1.043,,0.243,,0.243,,,,,,,,,,,,,,,,,,,
United States,1808,USA,6973023,,0,0,0.392,0.015,3.883,,,,,,,0.056,,,0.392,0.056,,,,0,2.884,,2.884,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.104,,1.104,,0.272,,0.272,,,,,,,,,,,,,,,,,,,
United States,1809,USA,7105258,,0,0,0.403,0.011,2.804,,,,,,,0.057,,,0.403,0.057,,,,0,3.287,,3.287,,0,,0,,,,,,0,0,,,,,,,,,0,0,,,,,1.109,,1.109,,0.299,,0.299,,,,,,,,,,,,,,,,,,,
