country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Uruguay,1850,URY,134084,325644000,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,,,,,,,,,0.439,44.199,0.892,6.655,0.813,6.067,0.102,0.76,,,,,,,,,,,,,,,,0.034,,,,,0.034,,,,,,,,5.926,0.059,,
Uruguay,1851,URY,140112,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,0.438,47.774,1.297,9.26,0.878,6.267,0.104,0.74,,,,,,,,,,,,,,,,0.04,,,,,0.046,,,0.187,0,0,0,0,6.694,0.061,,
Uruguay,1852,URY,147069,,,,,,,,,,,,,,,,,,,,,,,,,,,3.852,,,,,,,,,0.434,49.437,1.662,11.3,0.943,6.411,0.106,0.718,,,,,,,,,,,,,,,,0.046,,,,,0.058,,,0.195,0,0,0,0,7.271,0.064,,
Uruguay,1853,URY,155024,,,,,,,,,,,,,,,,,,,,,,,,,,,5.787,,,,,,,,,0.428,50.09,1.935,12.482,1.008,6.499,0.107,0.692,,,,,,,,,,,,,,,,0.052,,,,,0.067,,,0.202,0,0,0,0,7.765,0.066,,
Uruguay,1854,URY,163409,,,,,,,,,,,,,,,,,,,,,,,,,,,7.932,,,,,,,,,0.422,50.299,2.146,13.131,1.072,6.562,0.109,0.667,,,,,,,,,,,,,,,,0.056,,,,,0.074,,,0.208,0,0,0,0,8.219,0.069,,
Uruguay,1855,URY,172247,,,,,,,,,,,,,,,,,,,,,,,,,,,10.248,,,,,,,,,0.415,50.09,2.316,13.444,1.137,6.602,0.111,0.642,,,,,,,,,,,,,,,,0.06,,,,,0.08,,,0.214,0,0,0,0,8.628,0.072,,
Uruguay,1856,URY,181564,,,,0.033,,,2.492,,,13.727,,,0.181,,,0.033,0.181,,,,,0.033,2.492,0.033,,,12.708,,,,,,,,,0.589,49.781,2.46,13.546,1.202,6.62,0.112,0.617,,,,,,,0.012,0.077,0.012,,0.001,0.012,0.001,,,0.064,,,,,0.083,,,0.22,0,0,0,0,9.038,0.107,,
Uruguay,1857,URY,191384,,,,0.047,0.014,42.413,2.621,0.128,5.15,13.694,,,0.244,,,0.047,0.244,,,,,0.08,5.113,0.08,,,15.282,,,,,,,,,0.646,49.087,2.574,13.449,1.267,6.619,0.113,0.592,,,,,,,0.017,0.081,0.017,,0.001,0.021,0.001,,,0.067,,,,,0.087,,,0.226,0,0,0,0,9.395,0.124,,
Uruguay,1858,URY,201736,,,,0.109,0.062,133.364,2.783,0.162,6.186,13.795,,,0.541,,,0.109,0.541,,,,,0.189,7.896,0.189,,,17.955,,,,,,,,,0.935,48.493,2.674,13.253,1.332,6.601,0.114,0.566,,,,,,,0.038,0.085,0.038,,0.003,0.028,0.003,,,0.069,,,,,0.09,,,0.232,0,0,0,0,9.783,0.189,,
Uruguay,1859,URY,212207,,,,0.062,-0.048,-43.587,2.825,0.042,1.526,13.314,,,0.29,,,0.062,0.29,,,,,0.25,10.721,0.25,,,20.719,,,,,,,,,0.677,47.361,2.764,13.024,1.397,6.581,0.115,0.542,,,,,,,0.02,0.085,0.02,,0.004,0.034,0.004,,,0.072,,,,,0.091,,,0.237,0,0,0,0,10.05,0.144,,
