country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Uzbekistan,1830,UZB,2102902,,,,0,,,,,,,,,0,,,0,0,,,,,0,,0,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Uzbekistan,1831,UZB,2122199,,,,0.001,0,19.916,,,,,,,0,,,0.001,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Uzbekistan,1832,UZB,2141674,,,,0,0,-33.392,,,,,,,0,,,0,0,,,,,0.001,,0.001,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,
Uzbekistan,1833,UZB,2161327,,,,0,0,25.197,,,,,,,0,,,0,0,,,,,0.002,,0.002,0,0,,0,,,,0,0,0,0,,,,,,,,,0,0,,,,,0.001,,0.001,,0,,0,,,,,,,,,,,,,,,,,,,
Uzbekistan,1850,UZB,2524425,,,,0.003,,,1.926,,,0.763,,,0.001,,,0.003,0.001,,,,,0.005,1.926,0.005,0,0,1.923,0,,,,0,0,0,0,0.264,2.74,1.923,0.762,2.211,0.876,0.622,0.247,0,0,,,,,0.002,0.068,0.002,,0,0.068,0,,,0.073,,,,,0.073,,,,,,,,6.916,0.667,,
Uzbekistan,1851,UZB,2546822,,,,,,,,,,,,,,,,,,,,,,,,,,,3.865,,,,,,,,,0.262,2.726,1.941,0.762,2.214,0.869,0.634,0.249,,,,,,,,,,,,,,,,0.071,,,,,0.069,,,0.134,0,0,0,0,6.943,0.666,,
Uzbekistan,1852,UZB,2569418,,,,,,,,,,,,,,,,,,,,,,,,,,,5.817,,,,,,,,,0.26,2.712,1.953,0.76,2.217,0.863,0.645,0.251,,,,,,,,,,,,,,,,0.07,,,,,0.068,,,0.134,0,0,0,0,6.968,0.668,,
Uzbekistan,1853,UZB,2592213,,,,,,,,,,,,,,,,,,,,,,,,,,,7.778,,,,,,,,,0.259,2.698,1.961,0.756,2.22,0.856,0.656,0.253,,,,,,,,,,,,,,,,0.069,,,,,0.067,,,0.133,0,0,0,0,6.993,0.671,,
Uzbekistan,1854,UZB,2615211,,,,,,,,,,,,,,,,,,,,,,,,,,,9.746,,,,,,,,,0.257,2.683,1.967,0.752,2.223,0.85,0.667,0.255,,,,,,,,,,,,,,,,0.069,,,,,0.067,,,0.132,0,0,0,0,7.016,0.673,,
Uzbekistan,1855,UZB,2638413,,,,0.009,,,1.981,,,0.751,,,0.003,,,0.009,0.003,,,,,0.014,3.907,0.014,0,0,11.717,0,,,,0,0,0,0,0.26,2.671,1.972,0.747,2.226,0.844,0.676,0.256,0,0,,,,,0.003,0.063,0.003,,0,0.021,0,,,0.069,0,,,,0.069,0,,0.132,0,0,0,0,7.046,0.685,,
