country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Vanuatu,1850,VUT,37268,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,0.171,4.851,0.119,3.194,0.076,2.047,0.005,0.121,,,,,,,,,,,,,,,,0.005,,,,,0.005,,,,,,,,0.181,0.006,,
Vanuatu,1851,VUT,37623,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,,,,,,,,,0.171,1.706,-0.007,-0.18,0.077,2.04,0.005,0.122,,,,,,,,,,,,,,,,0.002,,,,,0,,,0.001,0,0,0,0,0.064,0.006,,
Vanuatu,1852,VUT,37981,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,,,,,,,,,0.171,3.936,0.071,1.878,0.077,2.032,0.005,0.123,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.002,0,0,0,0,0.149,0.006,,
Vanuatu,1853,VUT,38342,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237,,,,,,,,,0.171,3.574,0.053,1.393,0.078,2.025,0.005,0.124,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.002,0,0,0,0,0.137,0.007,,
Vanuatu,1854,VUT,38707,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,,,,,,,,,0.171,4.074,0.07,1.801,0.078,2.017,0.005,0.125,,,,,,,,,,,,,,,,0.002,,,,,0.002,,,0.002,0,0,0,0,0.158,0.007,,
Vanuatu,1855,VUT,39076,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,0.171,3.197,0.033,0.854,0.079,2.01,0.005,0.126,,,,,,,,,,,,,,,,0.002,,,,,0.001,,,0.002,0,0,0,0,0.125,0.007,,
Vanuatu,1856,VUT,39448,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341,,,,,,,,,0.171,2.414,0.001,0.017,0.079,2.002,0.005,0.126,,,,,,,,,,,,,,,,0.002,,,,,0,,,0.002,0,0,0,0,0.095,0.007,,
Vanuatu,1857,VUT,39823,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329,,,,,,,,,0.171,2.154,-0.011,-0.288,0.079,1.995,0.005,0.127,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.086,0.007,,
Vanuatu,1858,VUT,40202,,,,,,,,,,,,,,,,,,,,,,,,,,,0.369,,,,,,,,,0.171,3.473,0.04,0.993,0.08,1.987,0.005,0.127,,,,,,,,,,,,,,,,0.001,,,,,0.001,,,0.002,0,0,0,0,0.14,0.007,,
Vanuatu,1859,VUT,40585,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348,,,,,,,,,0.171,1.998,-0.021,-0.515,0.08,1.979,0.005,0.126,,,,,,,,,,,,,,,,0.001,,,,,-0.001,,,0.002,0,0,0,0,0.081,0.007,,
Vanuatu,1860,VUT,40971,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,,,,,,,,,0.171,1.412,-0.049,-1.204,0.081,1.972,0.005,0.125,,,,,,,,,,,,,,,,0.001,,,,,-0.002,,,0.002,0,0,0,0,0.058,0.007,,
Vanuatu,1861,VUT,41361,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395,,,,,,,,,0.17,4.98,0.096,2.315,0.081,1.961,0.005,0.125,,,,,,,,,,,,,,,,0.001,,,,,0.003,,,0.002,0,0,0,0,0.206,0.007,,
Vanuatu,1862,VUT,41755,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446,,,,,,,,,0.17,3.928,0.051,1.225,0.081,1.949,0.005,0.124,,,,,,,,,,,,,,,,0.001,,,,,0.002,,,0.002,0,0,0,0,0.164,0.007,,
Vanuatu,1863,VUT,42152,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446,,,,,,,,,0.169,2.743,0,0.008,0.082,1.938,0.005,0.123,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.116,0.007,,
Vanuatu,1864,VUT,42553,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,,,,,,,,,0.169,4.353,0.068,1.589,0.082,1.927,0.005,0.122,,,,,,,,,,,,,,,,0.001,,,,,0.003,,,0.002,0,0,0,0,0.185,0.007,,
Vanuatu,1865,VUT,42958,,,,,,,,,,,,,,,,,,,,,,,,,,,0.498,,,,,,,,,0.169,2.429,-0.015,-0.361,0.082,1.916,0.005,0.121,,,,,,,,,,,,,,,,0.001,,,,,-0.001,,,0.002,0,0,0,0,0.104,0.007,,
Vanuatu,1866,VUT,43367,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502,,,,,,,,,0.168,2.91,0.004,0.095,0.083,1.905,0.005,0.12,,,,,,,,,,,,,,,,0.001,,,,,0,,,0.002,0,0,0,0,0.126,0.007,,
