country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Venezuela,1850,VEN,1326378,2494415872,,,,,,,,,,,,,,,,,,,,,,,,,,48.451,,,,,,,,,0.364,24.143,48.451,36.529,2.021,1.523,0.169,0.128,,,,,,,,,,,,,,,,1.836,,,,,1.836,,,,,,,,32.023,0.482,,
Venezuela,1851,VEN,1341399,,,,,,,,,,,,,,,,,,,,,,,,,,,109.691,,,,,,,,,0.367,31.735,61.24,45.654,2.066,1.54,0.172,0.128,,,,,,,,,,,,,,,,2.01,,,,,2.172,,,1.058,0,0,0,0,42.569,0.492,,
Venezuela,1852,VEN,1357350,,,,,,,,,,,,,,,,,,,,,,,,,,,172.494,,,,,,,,,0.369,31.227,62.804,46.269,2.112,1.556,0.174,0.128,,,,,,,,,,,,,,,,2.074,,,,,2.198,,,1.05,0,0,0,0,42.385,0.501,,
Venezuela,1853,VEN,1374250,,,,,,,,,,,,,,,,,,,,,,,,,,,247.448,,,,,,,,,0.372,37.377,74.953,54.541,2.158,1.57,0.177,0.128,,,,,,,,,,,,,,,,2.205,,,,,2.58,,,1.114,0,0,0,0,51.365,0.511,,
Venezuela,1854,VEN,1391359,,,,,,,,,,,,,,,,,,,,,,,,,,,321.965,,,,,,,,,0.374,35.395,74.517,53.557,2.204,1.584,0.179,0.129,,,,,,,,,,,,,,,,2.278,,,,,2.556,,,1.128,0,0,0,0,49.248,0.52,,
Venezuela,1855,VEN,1408679,,,,,,,,,,,,,,,,,,,,,,,,,,,389.273,,,,,,,,,0.376,30.275,67.308,47.781,2.25,1.597,0.181,0.129,,,,,,,,,,,,,,,,2.288,,,,,2.338,,,1.108,0,0,0,0,42.647,0.53,,
Venezuela,1856,VEN,1426211,,,,,,,,,,,,,,,,,,,,,,,,,,,472.037,,,,,,,,,0.378,38.803,82.764,58.031,2.296,1.61,0.183,0.128,,,,,,,,,,,,,,,,2.362,,,,,2.788,,,1.139,0,0,0,0,55.342,0.54,,
Venezuela,1857,VEN,1443960,,,,,,,,,,,,,,,,,,,,,,,,,,,551.162,,,,,,,,,0.38,36.19,79.125,54.798,2.342,1.622,0.185,0.128,,,,,,,,,,,,,,,,2.403,,,,,2.681,,,1.152,0,0,0,0,52.256,0.549,,
Venezuela,1858,VEN,1461927,,,,,,,,,,,,,,,,,,,,,,,,,,,630.007,,,,,,,,,0.382,35.554,78.844,53.932,2.388,1.633,0.187,0.128,,,,,,,,,,,,,,,,2.432,,,,,2.65,,,1.16,0,0,0,0,51.977,0.559,,
Venezuela,1859,VEN,1480115,,,,,,,,,,,,,,,,,,,,,,,,,,,707.47,,,,,,,,,0.382,34.518,77.464,52.336,2.431,1.643,0.188,0.127,,,,,,,,,,,,,,,,2.444,,,,,2.549,,,1.161,0,0,0,0,51.09,0.566,,
