country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Vietnam,1850,VNM,6114191,,,,,,,,,,,,,,,,,,,,,,,,,,,18.749,,,,,,,,,0.427,6.002,18.749,3.067,8.229,1.346,0.286,0.047,,,,,,,,,,,,,,,,0.711,,,,,0.711,,,,,,,,36.696,2.61,,
Vietnam,1851,VNM,6212180,,,,,,,,,,,,,,,,,,,,,,,,,,,38.508,,,,,,,,,0.425,6.016,19.758,3.181,8.32,1.339,0.291,0.047,,,,,,,,,,,,,,,,0.705,,,,,0.701,,,0.915,0,0,0,0,37.37,2.639,,
Vietnam,1852,VNM,6350901,,,,,,,,,,,,,,,,,,,,,,,,,,,57.709,,,,,,,,,0.42,5.903,19.201,3.023,8.412,1.325,0.295,0.046,,,,,,,,,,,,,,,,0.694,,,,,0.672,,,0.911,0,0,0,0,37.491,2.669,,
Vietnam,1853,VNM,6531393,,,,,,,,,,,,,,,,,,,,,,,,,,,77.049,,,,,,,,,0.413,5.803,19.34,2.961,8.504,1.302,0.3,0.046,,,,,,,,,,,,,,,,0.687,,,,,0.666,,,0.909,0,0,0,0,37.9,2.698,,
Vietnam,1854,VNM,6717014,,,,,,,,,,,,,,,,,,,,,,,,,,,95.862,,,,,,,,,0.406,5.654,18.813,2.801,8.596,1.28,0.304,0.045,,,,,,,,,,,,,,,,0.678,,,,,0.645,,,0.905,0,0,0,0,37.975,2.728,,
Vietnam,1855,VNM,6907910,,,,,,,,,,,,,,,,,,,,,,,,,,,114.476,,,,,,,,,0.399,5.538,18.614,2.695,8.688,1.258,0.308,0.045,,,,,,,,,,,,,,,,0.673,,,,,0.647,,,0.905,0,0,0,0,38.253,2.758,,
Vietnam,1856,VNM,7104232,,,,,,,,,,,,,,,,,,,,,,,,,,,133.659,,,,,,,,,0.392,5.452,19.183,2.7,8.781,1.236,0.312,0.044,,,,,,,,,,,,,,,,0.669,,,,,0.646,,,0.903,0,0,0,0,38.736,2.788,,
Vietnam,1857,VNM,7306133,,,,,,,,,,,,,,,,,,,,,,,,,,,152.204,,,,,,,,,0.386,5.297,18.544,2.538,8.873,1.214,0.316,0.043,,,,,,,,,,,,,,,,0.664,,,,,0.628,,,0.902,0,0,0,0,38.701,2.818,,
Vietnam,1858,VNM,7513772,,,,,,,,,,,,,,,,,,,,,,,,,,,170.537,,,,,,,,,0.379,5.111,18.334,2.44,8.966,1.193,0.318,0.042,,,,,,,,,,,,,,,,0.658,,,,,0.616,,,0.9,0,0,0,0,38.404,2.848,,
Vietnam,1859,VNM,7727311,,,,,,,,,,,,,,,,,,,,,,,,,,,189.992,,,,,,,,,0.373,5.069,19.454,2.518,9.059,1.172,0.321,0.042,,,,,,,,,,,,,,,,0.656,,,,,0.64,,,0.899,0,0,0,0,39.172,2.879,,
Vietnam,1860,VNM,7946920,,,,,,,,,,,,,,,,,,,,,,,,,,,208.894,,,,,,,,,0.366,4.933,18.902,2.379,9.152,1.152,0.322,0.041,,,,,,,,,,,,,,,,0.658,,,,,0.68,,,0.902,0,0,0,0,39.203,2.909,,
Vietnam,1861,VNM,8172770,,,,,,,,,,,,,,,,,,,,,,,,,,,227.022,,,,,,,,,0.36,4.782,18.129,2.218,9.254,1.132,0.324,0.04,,,,,,,,,,,,,,,,0.658,,,,,0.655,,,0.904,0,0,0,0,39.078,2.941,,
Vietnam,1862,VNM,8405038,,,,,,,,,,,,,,,,,,,,,,,,,,,245.451,,,,,,,,,0.354,4.754,18.428,2.193,9.356,1.113,0.325,0.039,,,,,,,,,,,,,,,,0.659,,,,,0.672,,,0.908,0,0,0,0,39.958,2.973,,
Vietnam,1863,VNM,8643907,,,,,,,,,,,,,,,,,,,,,,,,,,,263.989,,,,,,,,,0.348,4.609,18.538,2.145,9.458,1.094,0.326,0.038,,,,,,,,,,,,,,,,0.661,,,,,0.685,,,0.911,0,0,0,0,39.839,3.005,,
Vietnam,1864,VNM,8889565,,,,,,,,,,,,,,,,,,,,,,,,,,,282.34,,,,,,,,,0.342,4.498,18.35,2.064,9.561,1.075,0.327,0.037,,,,,,,,,,,,,,,,0.663,,,,,0.701,,,0.915,0,0,0,0,39.987,3.038,,
Vietnam,1865,VNM,9142204,,,,,,,,,,,,,,,,,,,,,,,,,,,301.293,,,,,,,,,0.336,4.421,18.954,2.073,9.663,1.057,0.329,0.036,,,,,,,,,,,,,,,,0.668,,,,,0.737,,,0.918,0,0,0,0,40.42,3.07,,
Vietnam,1866,VNM,9402023,,,,,,,,,,,,,,,,,,,,,,,,,,,320.186,,,,,,,,,0.33,4.314,18.893,2.009,9.766,1.039,0.33,0.035,,,,,,,,,,,,,,,,0.671,,,,,0.724,,,0.921,0,0,0,0,40.562,3.103,,
Vietnam,1867,VNM,9669226,,,,,,,,,,,,,,,,,,,,,,,,,,,337.731,,,,,,,,,0.324,4.139,17.545,1.815,9.869,1.021,0.331,0.034,,,,,,,,,,,,,,,,0.671,,,,,0.683,,,0.923,0,0,0,0,40.017,3.136,,
Vietnam,1868,VNM,9944022,,,,,,,,,,,,,,,,,,,,,,,,,,,356.737,,,,,,,,,0.319,4.116,19.006,1.911,9.972,1.003,0.332,0.033,,,,,,,,,,,,,,,,0.675,,,,,0.749,,,0.926,0,0,0,0,40.928,3.17,,
Vietnam,1869,VNM,10172892,,,,,,,,,,,,,,,,,,,,,,,,,,,375.126,,,,,,,,,0.315,3.977,18.389,1.808,10.076,0.99,0.333,0.033,,,,,,,,,,,,,,,,0.677,,,,,0.711,,,0.927,0,0,0,0,40.46,3.203,,
Vietnam,1870,VNM,10354379,8475039744,,,,,,,,,,,,,,,,,,,,,,,,,,401.963,,,,,,,,,0.325,4.384,26.837,2.592,10.313,0.996,0.335,0.032,,,,,,,,,,,,,,,,0.69,,,,,0.947,,,0.931,0,0,0,0,45.398,3.37,,
