country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Yemen,1850,YEM,2738504,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.563,,,,,,,,,0.403,0.717,-0.563,-0.206,2.046,0.747,0.115,0.042,,,,,,,,,,,,,,,,-0.021,,,,,-0.021,,,,,,,,1.963,1.104,,
Yemen,1851,YEM,2742660,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.135,,,,,,,,,0.403,0.719,-0.572,-0.209,2.05,0.748,0.117,0.043,,,,,,,,,,,,,,,,-0.021,,,,,-0.02,,,0.02,0,0,0,0,1.971,1.106,,
Yemen,1852,YEM,2746821,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.715,,,,,,,,,0.403,0.721,-0.58,-0.211,2.054,0.748,0.119,0.043,,,,,,,,,,,,,,,,-0.021,,,,,-0.02,,,0.02,0,0,0,0,1.979,1.108,,
Yemen,1853,YEM,2750989,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.303,,,,,,,,,0.404,0.722,-0.588,-0.214,2.058,0.748,0.122,0.044,,,,,,,,,,,,,,,,-0.021,,,,,-0.02,,,0.02,0,0,0,0,1.988,1.11,,
Yemen,1854,YEM,2755163,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.898,,,,,,,,,0.404,0.724,-0.595,-0.216,2.062,0.748,0.124,0.045,,,,,,,,,,,,,,,,-0.021,,,,,-0.02,,,0.02,0,0,0,0,1.995,1.113,,
Yemen,1855,YEM,2759343,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.5,,,,,,,,,0.404,0.726,-0.602,-0.218,2.066,0.749,0.126,0.046,,,,,,,,,,,,,,,,-0.021,,,,,-0.021,,,0.02,0,0,0,0,2.003,1.115,,
Yemen,1856,YEM,2763528,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.109,,,,,,,,,0.404,0.727,-0.609,-0.22,2.07,0.749,0.127,0.046,,,,,,,,,,,,,,,,-0.021,,,,,-0.021,,,0.02,0,0,0,0,2.01,1.117,,
Yemen,1857,YEM,2767720,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.725,,,,,,,,,0.404,0.729,-0.616,-0.222,2.074,0.749,0.129,0.046,,,,,,,,,,,,,,,,-0.021,,,,,-0.021,,,0.02,0,0,0,0,2.016,1.119,,
Yemen,1858,YEM,2771918,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.347,,,,,,,,,0.404,0.73,-0.622,-0.225,2.078,0.75,0.13,0.047,,,,,,,,,,,,,,,,-0.021,,,,,-0.021,,,0.02,0,0,0,0,2.023,1.121,,
Yemen,1859,YEM,2776122,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.976,,,,,,,,,0.405,0.731,-0.629,-0.227,2.082,0.75,0.131,0.047,,,,,,,,,,,,,,,,-0.021,,,,,-0.021,,,0.02,0,0,0,0,2.028,1.123,,
Yemen,1860,YEM,2780333,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.618,,,,,,,,,0.405,0.731,-0.642,-0.231,2.086,0.75,0.131,0.047,,,,,,,,,,,,,,,,-0.021,,,,,-0.023,,,0.02,0,0,0,0,2.031,1.125,,
Yemen,1861,YEM,2784549,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.27,,,,,,,,,0.405,0.731,-0.652,-0.234,2.09,0.751,0.131,0.047,,,,,,,,,,,,,,,,-0.021,,,,,-0.024,,,0.02,0,0,0,0,2.035,1.128,,
Yemen,1862,YEM,2788772,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.93,,,,,,,,,0.405,0.731,-0.66,-0.237,2.094,0.751,0.132,0.047,,,,,,,,,,,,,,,,-0.021,,,,,-0.024,,,0.02,0,0,0,0,2.038,1.13,,
Yemen,1863,YEM,2793000,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.598,,,,,,,,,0.405,0.731,-0.668,-0.239,2.098,0.751,0.132,0.047,,,,,,,,,,,,,,,,-0.022,,,,,-0.025,,,0.02,0,0,0,0,2.042,1.132,,
Yemen,1864,YEM,2797235,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.273,,,,,,,,,0.405,0.732,-0.675,-0.241,2.102,0.752,0.132,0.047,,,,,,,,,,,,,,,,-0.022,,,,,-0.026,,,0.02,0,0,0,0,2.046,1.134,,
Yemen,1865,YEM,2801476,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.955,,,,,,,,,0.406,0.732,-0.682,-0.243,2.107,0.752,0.132,0.047,,,,,,,,,,,,,,,,-0.022,,,,,-0.027,,,0.02,0,0,0,0,2.051,1.136,,
Yemen,1866,YEM,2805723,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.643,,,,,,,,,0.406,0.732,-0.689,-0.245,2.111,0.752,0.132,0.047,,,,,,,,,,,,,,,,-0.022,,,,,-0.026,,,0.02,0,0,0,0,2.055,1.138,,
Yemen,1867,YEM,2809977,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.338,,,,,,,,,0.406,0.733,-0.695,-0.247,2.115,0.753,0.132,0.047,,,,,,,,,,,,,,,,-0.023,,,,,-0.027,,,0.02,0,0,0,0,2.059,1.14,,
Yemen,1868,YEM,2814236,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.04,,,,,,,,,0.406,0.733,-0.701,-0.249,2.119,0.753,0.133,0.047,,,,,,,,,,,,,,,,-0.023,,,,,-0.028,,,0.02,0,0,0,0,2.064,1.143,,
Yemen,1869,YEM,2818506,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.747,,,,,,,,,0.406,0.734,-0.708,-0.251,2.123,0.753,0.133,0.047,,,,,,,,,,,,,,,,-0.023,,,,,-0.027,,,0.02,0,0,0,0,2.068,1.145,,
Yemen,1870,YEM,2822786,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.411,,,,,,,,,0.406,0.742,-0.664,-0.235,2.127,0.753,0.133,0.047,,,,,,,,,,,,,,,,-0.023,,,,,-0.023,,,0.02,0,0,0,0,2.093,1.147,,
Yemen,1871,YEM,2827076,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.049,,,,,,,,,0.407,0.748,-0.638,-0.226,2.136,0.755,0.135,0.048,,,,,,,,,,,,,,,,-0.023,,,,,-0.022,,,0.02,0,0,0,0,2.114,1.152,,
