country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Zambia,1850,ZMB,1579865,,,,,,,,,,,,,,,,,,,,,,,,,,,9.728,,,,,,,,,0.129,5.683,9.728,6.157,0.525,0.333,0.41,0.26,,,,,,,,,,,,,,,,0.369,,,,,0.369,,,,,,,,8.978,0.203,,
Zambia,1851,ZMB,1589254,,,,,,,,,,,,,,,,,,,,,,,,,,,19.319,,,,,,,,,0.128,5.662,9.591,6.035,0.526,0.331,0.418,0.263,,,,,,,,,,,,,,,,0.354,,,,,0.34,,,0.208,0,0,0,0,8.998,0.204,,
Zambia,1852,ZMB,1594230,,,,,,,,,,,,,,,,,,,,,,,,,,,28.989,,,,,,,,,0.128,5.659,9.67,6.065,0.526,0.33,0.426,0.267,,,,,,,,,,,,,,,,0.349,,,,,0.338,,,0.207,0,0,0,0,9.022,0.204,,
Zambia,1853,ZMB,1594729,,,,,,,,,,,,,,,,,,,,,,,,,,,38.777,,,,,,,,,0.129,5.726,9.789,6.138,0.527,0.33,0.434,0.272,,,,,,,,,,,,,,,,0.346,,,,,0.337,,,0.207,0,0,0,0,9.131,0.205,,
Zambia,1854,ZMB,1595228,,,,,,,,,,,,,,,,,,,,,,,,,,,48.387,,,,,,,,,0.129,5.659,9.61,6.024,0.527,0.33,0.441,0.277,,,,,,,,,,,,,,,,0.342,,,,,0.33,,,0.205,0,0,0,0,9.027,0.206,,
Zambia,1855,ZMB,1595726,,,,,,,,,,,,,,,,,,,,,,,,,,,57.909,,,,,,,,,0.129,5.648,9.522,5.967,0.528,0.331,0.448,0.281,,,,,,,,,,,,,,,,0.34,,,,,0.331,,,0.204,0,0,0,0,9.012,0.206,,
Zambia,1856,ZMB,1596223,,,,,,,,,,,,,,,,,,,,,,,,,,,67.493,,,,,,,,,0.13,5.676,9.584,6.004,0.528,0.331,0.454,0.284,,,,,,,,,,,,,,,,0.338,,,,,0.323,,,0.203,0,0,0,0,9.059,0.207,,
Zambia,1857,ZMB,1596720,,,,,,,,,,,,,,,,,,,,,,,,,,,77.073,,,,,,,,,0.13,5.653,9.58,6,0.529,0.331,0.459,0.287,,,,,,,,,,,,,,,,0.336,,,,,0.325,,,0.202,0,0,0,0,9.026,0.208,,
Zambia,1858,ZMB,1597216,,,,,,,,,,,,,,,,,,,,,,,,,,,86.692,,,,,,,,,0.13,5.678,9.619,6.023,0.529,0.331,0.463,0.29,,,,,,,,,,,,,,,,0.335,,,,,0.323,,,0.202,0,0,0,0,9.069,0.208,,
Zambia,1859,ZMB,1597626,,,,,,,,,,,,,,,,,,,,,,,,,,,96.277,,,,,,,,,0.131,5.672,9.585,5.999,0.529,0.331,0.466,0.292,,,,,,,,,,,,,,,,0.333,,,,,0.315,,,0.201,0,0,0,0,9.061,0.209,,
Zambia,1860,ZMB,1597950,,,,,,,,,,,,,,,,,,,,,,,,,,,106.073,,,,,,,,,0.131,5.735,9.796,6.13,0.53,0.332,0.468,0.293,,,,,,,,,,,,,,,,0.334,,,,,0.352,,,0.201,0,0,0,0,9.164,0.21,,
Zambia,1861,ZMB,1598187,,,,,,,,,,,,,,,,,,,,,,,,,,,116.14,,,,,,,,,0.132,5.78,10.067,6.299,0.531,0.332,0.469,0.294,,,,,,,,,,,,,,,,0.337,,,,,0.364,,,0.202,0,0,0,0,9.238,0.21,,
